onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
93567.574700041	5.35	0	93569.074700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	859.9		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93567.574700041	5.35	0	93569.824700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	868.48		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93567.574700041	5.35	0	93570.574700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	869.89		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93567.574700041	5.35	0	93571.324700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	857.36		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93567.574700041	5.35	0	93572.074700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	867.81		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93567.574700041	5.35	0	93572.824700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	869.97		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93578.43093579101	5.35	0	93578.43093579101	5.349720333993901		93589.780920041	93583.780656125	93583.78093579102	93589.78093579102	93583.780662583	93589.78035275	6.0	864.07		3	4	1	1	70	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93578.43093579101	5.35	0	93579.18093579101	5.349720333993901		93589.780920041	93583.780656125	93583.78093579102	93589.78093579102	93583.780662583	93589.78035275	6.0	883.16		3	4	1	1	70	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93578.43093579101	5.35	0	93579.93093579101	5.349720333993901		93589.780920041	93583.780656125	93583.78093579102	93589.78093579102	93583.780662583	93589.78035275	6.0	860.31		3	4	1	1	70	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93578.43093579101	5.35	0	93580.68093579101	5.349720333993901		93589.780920041	93583.780656125	93583.78093579102	93589.78093579102	93583.780662583	93589.78035275	6.0	836.4		3	4	1	1	70	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93578.43093579101	5.35	1	93581.43093579101	5.349720333993901		93589.780920041	93583.780656125	93583.78093579102	93589.78093579102	93583.780662583	93589.78035275	6.0	1096.25		3	4	1	1	70	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93578.43093579101	5.35	0	93582.18093579101	5.349720333993901		93589.780920041	93583.780656125	93583.78093579102	93589.78093579102	93583.780662583	93589.78035275	6.0	843.18		3	4	1	1	70	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
