onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	confidence	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
24815.205574791336	5.35	0	24815.955574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.66			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24815.205574791336	5.35	0	24816.705574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.59			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24815.205574791336	5.35	0	24817.455574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.63			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24815.205574791336	5.35	0	24818.205574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.62			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24815.205574791336	5.35	0	24818.955574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.57			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24815.205574791336	5.35	0	24819.705574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.57			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24815.205574791336	5.35	0	24820.455574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.52			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	0	24829.072051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.68			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	0	24829.822051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.65			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	0	24830.572051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.66			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	0	24831.322051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.64			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	0	24832.072051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.65			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	1	24832.822051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.52			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	0	24833.572051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.69			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24829.072051083338	5.35	0	24834.322051083338	5.3469966246630065		24842.921965583337	24834.419047708	24834.422051083337	24842.922051083337	24834.419190833	24842.919156291	8.5	-0.68			3	5	1	0	33	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	0	24842.938215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.53			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	0	24843.688215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.59			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	0	24844.438215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.59			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	0	24845.188215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.59			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	1	24845.938215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.47			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	0	24846.688215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.64			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	0	24847.438215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.59			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24842.938215458336	5.35	0	24848.188215458336	5.346921166663378		24855.788135291335	24848.285136625	24848.288215458335	24855.788215458335	24848.285231833	24855.78548525	7.5	-0.61			3	4	0	0	34	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
